developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
da-2012-0084,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=447545&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2012/0084,2013-02-28,/developer-agreement/local-authority-eng/AMB/da-2012-0084
da-2012-0965,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=842671&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2012/0965,2013-10-01,/developer-agreement/local-authority-eng/AMB/da-2012-0965
da-2012-1157,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=293895&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2012/1157,2013-10-01,/developer-agreement/local-authority-eng/AMB/da-2012-1157
da-2014-0553,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=313769&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2014/0553,2015-11-19,/developer-agreement/local-authority-eng/AMB/da-2014-0553
da-2014-0678,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=799354&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2014/0678,2017-09-01,/developer-agreement/local-authority-eng/AMB/da-2014-0678
da-2017-1363,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=1002039&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2017/1363,2020-01-31,/developer-agreement/local-authority-eng/AMB/da-2017-1363
da-2018-0178,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=1004453&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2018/0178,2020-02-07,/developer-agreement/local-authority-eng/AMB/da-2018-0178
da-2018-0338,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=935977&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2018/0338,2019-04-10,/developer-agreement/local-authority-eng/AMB/da-2018-0338
da-2018-0661,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=936973&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2018/0661,2019-03-29,/developer-agreement/local-authority-eng/AMB/da-2018-0661
da-2018-0978,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=1004610&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2018/0978,2020-02-07,/developer-agreement/local-authority-eng/AMB/da-2018-0978
da-2018-1006,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=1003141&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2018/1006,2020-01-31,/developer-agreement/local-authority-eng/AMB/da-2018-1006
da-2019-0120,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=1000183&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2019/0120,2020-01-23,/developer-agreement/local-authority-eng/AMB/da-2019-0120
da-2019-0424,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=1028285&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2019/0424,2020-03-24,/developer-agreement/local-authority-eng/AMB/da-2019-0424
da-2019-0744,section-106,https://info.ambervalley.gov.uk/WebServices/AVBCFeeds/IdoxEDMJSON.asmx/StreamIdoxEDMDoc?docId=994083&docApplication=planning,,2020-11-01,local-authority-eng:AMB,AVA/2019/0744,2019-12-19,/developer-agreement/local-authority-eng/AMB/da-2019-0744
