developer-agreement,developer-agreement-type,document-url,end-date,entry-date,organisation,planning-application,start-date,slug
01373/17-da,section-106,https://www.planningpa.bolton.gov.uk/online-applications-17/applicationDetails.do?activeTab=documents&keyVal=DCAPR_93002,,2020-09-09,local-authority-eng:BOL,01373/17,2018-01-16,/developer-agreement/local-authority-eng/BOL/01373-17-da
05595/19-da,section-106,https://www.planningpa.bolton.gov.uk/online-applications-17/applicationDetails.do?activeTab=documents&keyVal=DCAPR_97249,,2020-09-09,local-authority-eng:BOL,05595/19,2019-05-03,/developer-agreement/local-authority-eng/BOL/05595-19-da
90539/13-da,section-106,https://www.planningpa.bolton.gov.uk/online-applications-17/applicationDetails.do?activeTab=documents&keyVal=DCAPR_84003,2016-12-20,2020-09-09,local-authority-eng:BOL,90539/13,2014-04-17,/developer-agreement/local-authority-eng/BOL/90539-13-da
88121/12-da,section-106,https://www.planningpa.bolton.gov.uk/online-applications-17/applicationDetails.do?activeTab=documents&keyVal=DCAPR_81589,2013-01-08,2020-09-09,local-authority-eng:BOL,88121/12,2010-12-31,/developer-agreement/local-authority-eng/BOL/88121-12-da
75230/06-da,section-106,https://www.planningpa.bolton.gov.uk/online-applications-17/applicationDetails.do?activeTab=documents&keyVal=DCAPR_54242,,2020-09-09,local-authority-eng:BOL,75230/06,2007-07-19,/developer-agreement/local-authority-eng/BOL/75230-06-da
93610/15-da,section-106,https://www.planningpa.bolton.gov.uk/online-applications-17/applicationDetails.do?activeTab=documents&keyVal=DCAPR_87063,2019-12-23,2020-09-09,local-authority-eng:BOL,93610/15,2014-11-26,/developer-agreement/local-authority-eng/BOL/93610-15-da
78010/07-da,section-106,https://www.planningpa.bolton.gov.uk/online-applications-17/applicationDetails.do?activeTab=documents&keyVal=DCAPR_57027,,2020-09-09,local-authority-eng:BOL,78010/07,2010-09-22,/developer-agreement/local-authority-eng/BOL/78010-07-da
91081/13-da,section-106,https://www.planningpa.bolton.gov.uk/online-applications-17/applicationDetails.do?activeTab=documents&keyVal=DCAPR_84541,,2020-09-09,local-authority-eng:BOL,91081/13,2014-11-26,/developer-agreement/local-authority-eng/BOL/91081-13-da
94158/15-da,section-106,https://www.planningpa.bolton.gov.uk/online-applications-17/applicationDetails.do?activeTab=documents&keyVal=DCAPR_87611,,2020-09-09,local-authority-eng:BOL,94158/15,2015-11-05,/developer-agreement/local-authority-eng/BOL/94158-15-da
94696/15-da,section-106,https://www.planningpa.bolton.gov.uk/online-applications-17/applicationDetails.do?activeTab=documents&keyVal=DCAPR_88147,,2020-11-25,local-authority-eng:BOL,94696/15,2017-06-29,/developer-agreement/local-authority-eng/BOL/94696-15-da
